Name,address,category,id,latlong,mainline,photo
"Pine Street Apartments","715 E Pine St, Seattle, WA 98122","Event Space","JobSite 1","44.078243, -79.327144","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Madison Office Complex","2201 E Madison St, Seattle, WA 98112","Business","JobSite 2","46.761559, -74.044016","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Wright LLC","7956 Molly Avenue Crescent, Woodland, Washington 79735","Factory","oj4ik3mc","38.26077, -95.575051","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Smith LLC","9253 Torres Harbors Lane, West Richland, Washington 39253","Retail","x5g48wtr","35.926688, -87.931954","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Dennis-Ramsey","9982 Ruben Viaduct Alley, Wenatchee, Washington 85712","Other","gqzvlaan","40.888638, -109.843698","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Coffey, Price and Turner","2576 Escobar Orchard Backroad, Waterville, Washington 64341","Event Space","j5chag6c","36.522491, -111.079785","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Johnston, Lowe and Diaz","7733 Michael Oval Drive, University Place, Washington 24051","Business","2nx4meny","45.001227, -90.908619","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Brown, Pace and Forbes","2283 Jessica Mount Drive, Toppenish, Washington 91502","Factory","ifektfc6","34.182234, -101.077164","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Torres, Mclaughlin and Doyle","5461 Garcia Branch Rd, Thorp, Washington 85525","Retail","ri4yfzga","43.453829, -108.713691","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Klein Group","8791 Martin Spring Byway, Tahuya, Washington 69583-9035","Other","tmmxlinl","34.750423, -75.078327","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Morris-Gardner","8651 Bradley Spurs Close, Tacoma, Washington 02013","Event Space","p7ncyws6","35.737101, -112.358553","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Shields Group","1738 Harris Manors Street, Seattle, Washington 51390-5182","Business","eo4wxfd1","46.66058, -92.84589","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Bailey, Peters and Jones","1199 Luis Tunnel Alley, Seattle, Washington 57005-6340","Factory","ghhav606","38.831698, -94.828115","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Sullivan-Pierce","2348 Jermaine Rest Drive, Ridgefield, Washington 55219","Retail","yvfqe8ps","36.426594, -111.25533","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Porter, Spencer and Castillo","669 Richard Extension St, Reardan, Washington 45209-9775","Other","6mkb5aei","36.8176, -86.430654","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Mercado-Holt","2426 Noah Hollow Backroad, Rainier, Washington 17891","Event Space","73l3jfde","38.03405, -90.254053","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Taylor, Bolton and Kerr","2564 Erica Curve Court, Puyallup, Washington 65569","Business","v533ckql","39.036769, -88.403274","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Morgan Ltd","1011 Robinson Cliffs Close, Puyallup, Washington 06285","Factory","8j3onat9","40.112671, -81.63613","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Grant, Rodriguez and Castillo","4611 Mitchell Plaza Boulevard, Port Townsend, Washington 57472-5703","Retail","76fw013x","45.968079, -81.385634","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Smith-Smith","4757 Ashley Islands Road, Port Orchard, Washington 76136","Other","6xxef6zp","42.64698, -77.110961","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Campbell Ltd","3150 Ashley Circles Drive, Port Orchard, Washington 51593","Event Space","cucec4wu","45.615089, -100.455082","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Johnson-Ellis","132 Darren Spring Rd, Port Orchard, Washington 12925","Business","uxpg0pfy","37.639536, -91.011346","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Boyer, Gomez and Good","9579 Marshall Greens Byway, Port Angeles, Washington 11264","Factory","spl8uor6","37.130098, -99.158474","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Grant-Bryan","9163 Kelsey View St, Port Angeles, Washington 92491-2518","Retail","9j55obyk","43.57953, -105.603592","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Ramirez LLC","2389 Bowers Square Way, Pacific, Washington 92304","Other","zkqb6xey","35.60198, -89.468185","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Chan LLC","5940 Gregory Prairie Byway, Orting, Washington 02060","Event Space","qzvjsl0f","34.789305, -73.329499","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Sutton Ltd","2606 Brandon Valleys Lane, Orient, Washington 85537","Business","tfy2ueaz","39.420677, -82.831987","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Perry, Conrad and Vargas","6340 Reed Gateway Place, Nordland, Washington 29194","Factory","5rx0wbrl","44.72231, -110.427256","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Carter Inc","4806 Melissa Fall Way, Milton, Washington 47799","Retail","oamsmzb5","39.397835, -109.478653","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Young, Rogers and Scott","8015 Roberson Canyon Way, Mead, Washington 36578","Other","3pmcs64j","41.068222, -90.245415","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
